Water Body Name,Location,Latitude,Longitude,Year,pH,Dissolved Oxygen (DO),Biological Oxygen Demand (BOD),Total Dissolved Solids (TDS),Turbidity,Nitrate,Coliform,Water Quality Index (WQI),Water Quality Category
 Purna at Yerli,"Buldana, Maharashtra",20.93777778,76.47388889,2005,8.30625,5.73,1.748125,317.8125,1.928125,0.05,431.68,75,Good
 Rangma Range,"MANGAN, Sikkim",27.61361111,88.62888889,2025,7.202222222222222,4.353086419753087,2.2891975308641976,57.71475308641976,29.903395061728396,1.3546913580246913,3004.2737654320986,80,Good
 Sandia,"HOSHANGABAD, Madhya Pradesh",22.91611111,78.3475,2025,8.031538461538462,6.8816185897435895,2.653621794871795,187.9851923076923,39.61722756410256,0.745048076923077,1787.677692307692,85,Good
(MANSAR LAKE AT MID POINT(MANSAR LAKE),"UDHAMPUR, Jammu & Kashmir",32.697433,75.14508,2021,7.66,7.75,1.790625,151.740625,10.27875,0.999375,1155.014375,85,Good
(MANSAR LAKE AT MID POINT(SURINSAR LAKE) J&K,"JAMMU, Jammu & Kashmir",32.769839,75.041303,2021,8.114666666666666,6.166666666666667,2.5020000000000002,160.24666666666664,16.896,1.3,1580.0613333333336,85,Good
1000m away from Sanvordem Bridge,"SOUTH GOA, Goa",15.26583333,74.11638889,2023,7.4,7.5,2.45,79.35,6.0,0.54,4600.0,85,Good
500 m Under the Bridge Nr.Rajan House,"SOUTH GOA, Goa",15.25777778,74.1275,2023,7.43,7.8,2.51,83.89,1.3,0.47,2400.0,85,Good
500 meters away from the bridge,"NORTH GOA, Goa",15.73972222,73.80833333,2023,7.33,7.0,3.0,608.77,4.0,1.09,2400.0,70,Good
A.B.Road X-ing,"GUNA, Madhya Pradesh",24.34611111,77.10777778,2024,8.133,5.855857142857143,7.957,365.34414285714286,76.42485714285714,2.011142857142857,140339.806,60,Medium
A.P.PURAM,"Tirunelveli, Tamil Nadu",8.901388889,77.64861111,2024,7.94474025974026,6.201103896103897,4.787467532467533,951.3216233766234,9.525974025974026,3.6974025974025975,2631.697207792208,65,Medium
ABBIGERE LAKE,"Bangalore Urban, Karnataka",13.079588,77.528603,2021,6.9,4.462000000000001,5.485,432.5995,25.791000000000004,3.3519999999999994,486330.0,70,Good
ACHANKOVIL AT CHENNITHULA,"Alappuzha, Kerala",9.270844,76.535403,2021,6.802083333333333,6.258333333333333,2.006041666666667,181.25020833333335,5.905833333333334,0.99125,472.8620833333334,85,Good
ACHANKOVIL AT KALLARAKADAVU PATHANAMTHITTA,"Alappuzha, Kerala",9.254722,76.588333,2021,7.0687500000000005,6.802083333333333,1.8408333333333333,178.17458333333332,5.672916666666667,0.9458333333333333,464.0529166666667,85,Good
ACHANKOVIL AT PANDALAM (NEAR AYYAPPA TEMPLE) PATHANAMTHITTA,"PATHANAMTHITTA, Kerala",9.264758,76.787042,2021,6.991666666666667,6.577083333333333,1.9439583333333335,177.68499999999997,6.064583333333334,0.9716666666666667,612.1622916666666,85,Good
ACHANKOVIL AT THUMPAMON,"PATHANAMTHITTA, Kerala",9.228125,76.713267,2021,7.177083333333333,6.391666666666667,1.9689583333333331,178.2275,5.895416666666667,0.9766666666666667,506.1325,85,Good
ADDOOR,"Dakshin Kannada, Karnataka",12.92888889,74.95388889,2021,7.006825396825397,7.201428571428571,1.133015873015873,56.90746031746032,12.301428571428572,0.34269841269841267,783.2177777777778,85,Good
AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,"GANGTOK DISTRICT, Sikkim",27.292886,88.590303,2021,6.534146341463414,8.565853658536586,1.4297560975609755,174.31024390243903,5.163658536585366,1.0931707317073172,249.2290243902439,85,Good
